,country,child_mortality,food_supply,med_beds,co2_emission,gender_equality
0,Afghanistan,60.1,2040.0,0.39,0.254,33.8
1,Albania,8.68,3395.0,2.85,1.59,62.0
2,United Arab Emirates,7.37,3285.0,1.38,21.4,41.1
3,Argentina,9.66,3310.0,5.09,4.41,75.3
4,Armenia,12.1,3042.0,4.35,1.89,57.5
5,Australia,3.59,3412.0,3.84,16.903967621157435,88.1
6,Austria,3.37,3702.0,7.3,7.75,81.0
7,Azerbaijan,20.7,3178.0,4.36,3.756315789467781,48.4
8,Belgium,3.51,3747.0,5.54,8.321486774649408,91.2
9,Bulgaria,6.76,2815.0,7.51,6.295881040152261,80.6
10,Bosnia and Herzegovina,5.66,3354.0,3.47,6.689444157551833,57.2
11,Belarus,3.35,3270.0,11.16,6.867102656706282,74.2
12,Bolivia,26.1,2428.0,1.32,2.0226612367874117,60.7
13,Brazil,13.9,3323.0,2.05,2.18,59.8
14,Barbados,11.9,2933.0,5.97,4.5225530215228105,75.7
15,Canada,4.94,3557.0,2.38,15.111110804642777,89.1
16,Switzerland,4.01,3390.0,4.59,4.274770672111573,76.9
17,Chile,7.03,3040.0,2.03,4.59,61.4
18,China,8.34,3232.0,4.95,7.169928183772337,50.0
19,Colombia,13.8,3090.0,1.7,2.003816838881641,54.7
20,Costa Rica,8.47,3042.0,1.08,1.5980703932186802,81.0
21,Cuba,4.9,3340.0,5.22,2.489206381034966,74.2
22,Cyprus,2.3,3020.0,3.27,6.258520190849163,66.4
23,Czech Republic,3.29,3248.0,6.49,9.803333264178706,73.4
24,Germany,3.46,3561.0,7.87,9.282668431299998,90.9
25,Djibouti,55.5,2728.0,1.36,0.676767133050445,35.2
26,Denmark,4.1,3378.0,2.41,5.698396272869411,97.9
27,Dominican Republic,28.3,2927.0,1.73,2.2865036206164957,52.9
28,Ecuador,13.9,2610.0,1.52,2.46,59.0
29,Egypt,20.5,3309.0,1.55,2.43,39.6
30,Spain,2.93,3318.0,2.97,5.75,91.7
31,Estonia,2.5,3287.0,4.41,14.8,83.4
32,Finland,1.63,3350.0,1.9,8.52,94.7
33,France,3.94,3500.0,5.76,5.1103399016306525,83.6
34,United Kingdom,4.24,3366.0,2.36,5.399436760079472,67.1
35,Georgia,9.37,2831.0,2.68,2.7294441195934707,78.1
36,Greece,4.37,3380.0,4.21,7.134066534706743,82.4
37,Guatemala,25.2,2571.0,0.53,1.045865805207973,46.3
38,Honduras,17.1,2686.0,0.64,1.04,48.5
39,Croatia,4.57,3098.0,5.73,4.652685399484059,68.3
40,Hungary,4.12,3271.0,7.02,5.14,67.4
41,Indonesia,24.1,2904.0,1.08,2.3,51.4
42,India,35.2,2530.0,0.53,2.014722158808974,44.5
43,Ireland,3.42,3896.0,2.6,7.872777472142162,78.4
44,Iran,13.9,3090.0,1.59,8.986666666666666,24.2
45,Iraq,25.9,2633.0,1.3,5.32,30.3
46,Iceland,1.92,3677.0,2.54,10.803267838553591,75.2
47,Israel,3.58,3552.0,2.92,7.550372666189997,68.3
48,Italy,2.93,3467.0,3.09,5.428888694446673,83.0
49,Jamaica,14.1,2777.0,1.68,2.79,81.2
50,Jordan,15.7,2756.0,1.62,2.42,46.4
51,Japan,2.41,2699.0,13.02,9.404330778911655,60.3
52,Kazakhstan,9.28,3036.0,6.37,18.080555552546887,58.4
53,Kyrgyz Republic,18.4,2730.0,4.41,1.6,53.0
54,South Korea,3.03,3438.0,13.2,13.093888848984273,60.2
55,Kuwait,7.63,3475.0,2.06,24.257262311135975,36.6
56,Lebanon,7.39,2836.0,3.19,3.7059514708498518,38.7
57,Lithuania,3.95,3396.0,6.27,4.84,78.5
58,Luxembourg,2.36,3477.0,4.53,16.064499835091098,74.2
59,Latvia,3.74,3254.0,5.2,3.6758651183336823,83.4
60,Morocco,21.5,3419.0,0.97,1.8772217913898162,49.9
61,Moldova,15.3,2406.0,5.49,1.2932773679860146,63.9
62,Mexico,12.5,3148.0,0.99,3.8346019300601206,57.0
63,North Macedonia,9.86,3076.0,4.19,3.3544443530932835,58.5
64,Malta,6.81,3419.0,4.49,3.61,69.5
65,Mongolia,15.7,2566.0,7.55,9.045833210667018,61.4
66,Malaysia,7.58,2845.0,1.81,8.272593164409875,48.4
67,Nicaragua,17.9,2646.0,0.92,0.8368079972526576,49.5
68,Netherlands,3.68,3258.0,3.09,9.45504132252731,84.5
69,Norway,2.45,3388.0,3.43,8.22513078126255,100.0
70,New Zealand,5.61,3174.0,3.03,7.415869914082616,87.7
71,Oman,10.9,2940.0,1.38,13.764730229333884,31.2
72,Pakistan,67.9,2485.0,0.69,1.0671663354254288,49.6
73,Panama,14.9,2890.0,2.22,2.62,62.2
74,Peru,13.9,2802.0,1.48,1.74,61.2
75,Philippines,27.8,2675.0,1.0,1.3841692916043433,60.6
76,Poland,4.27,3530.0,6.51,8.723156273996683,71.9
77,Portugal,3.61,3447.0,3.35,4.97,76.6
78,Paraguay,19.8,2743.0,0.92,1.0917774654690224,48.6
79,Romania,7.07,3608.0,6.92,3.8,69.1
80,Russia,6.81,3330.0,7.66,11.7,50.6
81,Saudi Arabia,6.75,3310.0,2.3,18.269537122390364,21.9
82,Sudan,59.1,2580.0,0.88,0.5217222222222222,33.5
83,El Salvador,13.1,2694.0,1.2,1.106878432565149,46.7
84,Slovak Republic,5.42,2875.0,5.58,6.61,68.6
85,Slovenia,2.1,3201.0,4.51,6.95,81.0
86,Sweden,2.62,3180.0,1.95,3.98762579818704,92.3
87,Tajikistan,33.6,2110.0,4.42,0.603,24.7
88,Turkmenistan,45.1,2842.0,3.87,13.999999650638557,39.6
89,Trinidad and Tobago,17.9,2990.0,2.96,31.199999999998166,73.2
90,Tunisia,16.5,3477.0,2.31,2.695577185746449,61.9
91,Turkey,10.1,3723.0,2.89,5.2866666330068615,44.5
92,Ukraine,8.46,3103.0,7.74,5.240168136704929,71.9
93,Uruguay,7.38,3221.0,2.2,1.97364199329292,75.7
94,United States,6.58,3773.0,2.8,16.33888861577658,74.1
95,Uzbekistan,20.8,3045.0,3.84,2.6933330021452324,49.4
96,Vietnam,20.4,3073.0,2.62,2.2436106573718373,59.9
97,Yemen,54.9,2142.0,0.71,0.41208277087212053,15.4
