,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,1790.0,1740.0,1830.0,1890.0,1970.0,1950.0,1970.0,2050.0,2040.0,2080.0,2100.0,2110.0,2100.0,2090.0,2100.0,2040.0,2030.0,2050.0,2040.0,2040.0
1,Angola,1790.0,1830.0,1920.0,1980.0,2030.0,2080.0,2120.0,2170.0,2250.0,2300.0,2350.0,2410.0,2380.0,2470.0,2420.0,2380.0,2340.0,2370.0,2390.0,2423.0
2,Albania,2730.0,2800.0,2860.0,2770.0,2790.0,2870.0,2860.0,2860.0,2950.0,2990.0,3080.0,3130.0,3180.0,3190.0,3270.0,3280.0,3380.0,3390.0,3360.0,3395.0
4,United Arab Emirates,3300.0,3320.0,3360.0,3340.0,3290.0,3210.0,3200.0,3190.0,3150.0,3170.0,3160.0,3210.0,3230.0,3280.0,3400.0,3410.0,3370.0,3340.0,3310.0,3285.0
5,Argentina,3260.0,3210.0,2980.0,3010.0,3030.0,3110.0,3110.0,3150.0,3160.0,3130.0,3160.0,3160.0,3200.0,3230.0,3250.0,3310.0,3250.0,3270.0,3310.0,3310.0
6,Armenia,2240.0,2240.0,2260.0,2430.0,2550.0,2670.0,2760.0,2760.0,2870.0,2820.0,2770.0,2790.0,2880.0,2930.0,3070.0,3090.0,3050.0,3070.0,3000.0,3042.0
7,Antigua and Barbuda,2150.0,2090.0,2070.0,2070.0,2110.0,2330.0,2330.0,2410.0,2380.0,2320.0,2320.0,2370.0,2290.0,2420.0,2400.0,2410.0,2400.0,2450.0,2450.0,2450.0
8,Australia,2990.0,3050.0,3080.0,3100.0,3050.0,3100.0,3160.0,3200.0,3200.0,3210.0,3210.0,3240.0,3260.0,3280.0,3410.0,3390.0,3420.0,3410.0,3390.0,3412.0
9,Austria,3730.0,3730.0,3650.0,3610.0,3610.0,3640.0,3720.0,3740.0,3720.0,3720.0,3720.0,3740.0,3740.0,3770.0,3670.0,3660.0,3660.0,3690.0,3700.0,3702.0
10,Azerbaijan,2280.0,2370.0,2460.0,2550.0,2640.0,2840.0,3010.0,3020.0,3030.0,3000.0,2970.0,3040.0,3060.0,3120.0,3090.0,3090.0,3080.0,3140.0,3150.0,3178.0
11,Belgium,3710.0,3750.0,3750.0,3720.0,3720.0,3720.0,3720.0,3710.0,3700.0,3700.0,3710.0,3720.0,3720.0,3730.0,3790.0,3800.0,3770.0,3770.0,3770.0,3747.0
12,Benin,2250.0,2320.0,2400.0,2360.0,2460.0,2440.0,2450.0,2560.0,2520.0,2570.0,2560.0,2600.0,2610.0,2620.0,2740.0,2730.0,2740.0,2760.0,2760.0,2813.0
13,Burkina Faso,2320.0,2330.0,2410.0,2490.0,2510.0,2460.0,2560.0,2550.0,2590.0,2640.0,2680.0,2660.0,2710.0,2720.0,2740.0,2750.0,2740.0,2720.0,2740.0,2763.0
14,Bangladesh,2260.0,2330.0,2310.0,2350.0,2380.0,2370.0,2370.0,2420.0,2390.0,2430.0,2440.0,2430.0,2440.0,2450.0,2490.0,2520.0,2520.0,2560.0,2560.0,2585.0
15,Bulgaria,2810.0,2820.0,2780.0,2760.0,2760.0,2720.0,2760.0,2730.0,2780.0,2790.0,2760.0,2770.0,2780.0,2830.0,2870.0,2750.0,2820.0,2830.0,2850.0,2815.0
16,Bahamas,2780.0,2770.0,2730.0,2690.0,2660.0,2650.0,2630.0,2610.0,2590.0,2620.0,2600.0,2570.0,2670.0,2670.0,2640.0,2610.0,2630.0,2640.0,2660.0,2662.0
17,Bosnia and Herzegovina,2800.0,2900.0,2900.0,2830.0,3090.0,3040.0,3020.0,3060.0,3110.0,3080.0,3100.0,3130.0,3050.0,3150.0,3200.0,3270.0,3300.0,3270.0,3310.0,3354.0
18,Belarus,2990.0,3050.0,2980.0,2820.0,2900.0,2990.0,3080.0,3190.0,3200.0,3130.0,3200.0,3400.0,3400.0,3250.0,3340.0,3190.0,3240.0,3350.0,3270.0,3270.0
19,Belize,2690.0,2760.0,2780.0,2810.0,2780.0,2820.0,2800.0,2790.0,2720.0,2760.0,2840.0,2760.0,2740.0,2750.0,2630.0,2680.0,2680.0,2710.0,2780.0,2764.0
21,Bolivia,2080.0,2080.0,2100.0,2120.0,2050.0,2110.0,2160.0,2170.0,2150.0,2130.0,2180.0,2220.0,2230.0,2260.0,2310.0,2380.0,2380.0,2400.0,2410.0,2428.0
22,Brazil,2880.0,2890.0,2930.0,3070.0,3080.0,3080.0,3100.0,3110.0,3180.0,3170.0,3230.0,3290.0,3250.0,3260.0,3300.0,3250.0,3230.0,3250.0,3300.0,3323.0
23,Barbados,2800.0,2840.0,2810.0,2840.0,2770.0,2890.0,2840.0,2910.0,2880.0,2910.0,2910.0,2890.0,2910.0,2940.0,2910.0,2950.0,2940.0,2910.0,2960.0,2933.0
25,Botswana,2080.0,2150.0,2110.0,2110.0,2190.0,2200.0,2150.0,2170.0,2180.0,2200.0,2230.0,2270.0,2340.0,2330.0,2390.0,2380.0,2380.0,2340.0,2340.0,2354.0
26,Central African Republic,1980.0,1990.0,2000.0,1970.0,1990.0,2030.0,2030.0,2090.0,2130.0,2140.0,2160.0,2150.0,2120.0,1880.0,1770.0,1730.0,1750.0,1800.0,1790.0,1812.0
27,Canada,3510.0,3500.0,3500.0,3520.0,3530.0,3480.0,3470.0,3480.0,3470.0,3440.0,3450.0,3470.0,3490.0,3490.0,3410.0,3420.0,3490.0,3500.0,3570.0,3557.0
28,Switzerland,3440.0,3380.0,3440.0,3430.0,3410.0,3390.0,3430.0,3430.0,3450.0,3470.0,3450.0,3490.0,3380.0,3390.0,3420.0,3400.0,3360.0,3390.0,3350.0,3390.0
