,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,0.0,3.25,26.2,30.3,32.0,34.0,34.0,34.6,33.4,33.4,34.0,34.0,34.0,34.0,34.0,34.0,31.2,32.8,33.8,33.8
1,Angola,37.6,37.6,40.7,45.0,45.2,45.2,45.2,45.2,44.4,46.9,46.9,49.0,48.9,50.6,50.6,50.8,49.3,51.8,51.8,52.1
2,Albania,50.6,53.0,53.8,55.5,53.8,56.5,56.5,58.1,55.5,57.8,57.8,57.8,58.0,58.5,60.2,60.4,62.1,61.0,61.2,62.0
3,United Arab Emirates,27.6,31.2,28.9,28.9,30.2,34.7,32.8,37.1,40.0,40.0,41.6,41.3,41.9,41.9,41.9,44.5,36.9,40.6,40.6,41.1
4,Argentina,68.8,71.3,71.3,73.5,75.6,75.6,73.9,77.6,76.0,77.6,77.6,77.6,77.6,75.6,75.6,76.1,76.5,77.1,74.2,75.3
5,Armenia,45.6,48.5,48.5,46.3,46.3,46.3,49.2,52.4,50.1,50.3,50.3,50.5,50.7,50.9,50.9,50.9,48.8,53.0,56.0,57.5
6,Australia,81.9,82.2,82.2,84.0,84.0,84.0,84.0,84.4,85.1,87.1,86.7,84.8,84.8,87.1,87.1,87.1,85.9,87.5,88.1,88.1
7,Austria,75.0,75.0,75.9,75.9,76.2,76.2,76.2,77.7,75.7,73.2,77.5,77.5,77.5,77.9,75.0,75.0,76.3,79.4,79.9,81.0
8,Azerbaijan,47.2,47.2,47.2,47.2,47.2,47.4,46.2,46.2,46.2,46.2,47.0,47.0,47.0,47.5,47.5,45.6,46.7,47.5,50.0,48.4
9,Burundi,49.0,49.0,49.3,49.3,49.3,55.3,54.6,54.7,55.8,55.9,53.6,53.6,53.6,53.0,54.0,54.1,48.8,56.6,56.1,54.2
10,Belgium,83.2,83.2,83.2,88.5,88.9,88.9,87.0,87.0,86.1,88.3,88.3,88.3,88.3,92.8,90.4,92.8,92.8,92.8,100.0,91.2
11,Benin,59.8,59.8,61.6,61.7,61.7,61.7,61.7,61.8,60.8,61.8,62.2,62.0,62.0,59.9,59.7,59.6,57.2,61.8,61.8,62.6
12,Burkina Faso,52.1,52.1,53.1,56.1,54.4,54.4,54.4,54.4,54.8,54.9,54.9,54.9,54.9,51.4,51.2,49.2,51.3,51.7,53.4,49.8
13,Bangladesh,46.5,45.1,45.1,43.0,43.0,47.5,46.7,51.0,46.7,51.1,51.1,51.4,51.4,50.3,50.3,49.8,48.6,46.0,45.3,46.6
14,Bulgaria,77.7,79.1,79.4,79.4,82.8,80.2,80.2,79.1,78.8,79.2,82.0,80.6,81.5,80.1,79.6,79.6,81.4,80.6,80.6,80.6
15,Bahrain,25.8,27.1,33.4,33.4,35.5,33.4,34.0,34.0,36.0,36.0,35.5,35.9,35.9,34.4,35.5,35.5,35.5,35.5,34.9,34.9
16,Bosnia and Herzegovina,55.1,56.1,57.4,57.4,55.9,55.9,56.0,57.2,56.0,56.5,56.7,56.7,56.7,56.4,56.9,56.9,57.9,57.9,57.9,57.2
17,Belarus,64.2,64.2,64.2,64.2,69.0,66.8,66.8,68.7,69.7,69.7,67.2,67.2,66.5,66.5,67.1,67.4,70.3,73.5,70.9,74.2
18,Bolivia,43.6,43.6,44.2,44.2,44.2,45.3,50.7,52.1,51.8,53.1,56.3,56.1,56.1,56.1,57.6,57.6,54.8,59.4,56.6,60.7
19,Brazil,64.4,64.4,68.6,68.6,70.2,70.2,70.2,71.4,70.3,70.2,73.4,75.4,75.4,75.1,75.2,75.2,70.7,61.4,60.3,59.8
